show_id,type,release_year,genres,director,cast
s2,Movie,2018,"Drama, International",Girish Joshi,Mahesh Manjrekar
s17,Movie,2016,"Horror, Science Fiction",Glenn Miller,Marcus Anderson
s18,TV Show,2008,"Kids, Special Interest",,Narrator - Gillian Barlett
s19,TV Show,2020,"Comedy, Talk Show and Variety",,Zoë Coombs Marr
s20,Movie,2018,Science Fiction,Drake Doremus,Ewan McGregor
s22,TV Show,2020,"Action, Anime, Comedy",,Alex Cazares
s23,Movie,1941,"Arts, Entertainment, and Culture, Comedy, Drama",William Nigh,Grace Hayes
s24,TV Show,2020,TV Shows,,ANDREA RISEBOROUGH
s25,Movie,1991,Drama,Sam Pillsbury,Nicolas Cage
s27,TV Show,2020,TV Shows,,Natasha Heschélle
s28,TV Show,2017,"Comedy, Drama",,Christina Ricci  
s29,TV Show,2015,"Animation, Anime, Fantasy",,Eli Jay
s30,TV Show,2018,"Action, Adventure, Animation",,Michael Liscio Jr.
s31,TV Show,2011,"Anime, Kids",,Gregory Abbey
s32,TV Show,2013,TV Shows,,Dobrokhotova Ekaterina
s33,Movie,1949,Drama,Ida Lupino,Sally Forrest
s36,TV Show,2002,"Drama, Suspense",,Alex Dimitriades
s37,Movie,2015,Drama,George C. Wolfe,Hilary Swank
s43,TV Show,2018,Fitness,,Lindsey Samper
s49,Movie,2016,"Fitness, Special Interest",Mark Knight,Anne-Marie Newland
s51,Movie,2016,"Fitness, Special Interest",Mark Knight,Anne-Marie Newland
s53,Movie,1955,"Action, Military and War, Western",R. John Hugh,Lin McCarthy
s54,TV Show,2020,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety",,Phoebe Robinson
s55,Movie,2019,"Drama, International",Mahi V Raghav,Mammootty
s56,Movie,2019,"Drama, International",Mahi V Raghav,Mammootty
s57,TV Show,1959,"Action, Western",,Jock Mahoney
s58,TV Show,2017,"Documentary, Science Fiction",,Chuck Pell
s59,TV Show,2015,"Adventure, Animation, Kids",,Tara Strong
s60,Movie,2001,"Fantasy, Science Fiction, Suspense",Allan Moyle,Stephen Baldwin
s61,Movie,1983,Suspense,Boaz Davidson,Barbi Benton
s62,TV Show,2009,Action,,Gary Sinise
s63,Movie,2008,"Documentary, LGBTQ",Jeffrey Schwarz,Jack Wrangler
s64,TV Show,2015,"Drama, Romance, Suspense",,WPC Annie Taylor
s65,TV Show,2009,"Comedy, Special Interest, Unscripted",,David Mitchell
s66,TV Show,2018,TV Shows,,Arisa Date
s67,TV Show,2020,Unscripted,,Bear Grylls
s68,TV Show,1994,Drama,,Michael Caine
s70,TV Show,2020,"Documentary, Military and War",,Liam Dale
s72,TV Show,2014,TV Shows,,Tiffany Derry
s74,Movie,2020,Drama,Thor Freudenthal,Charlie Plummer
s76,TV Show,2018,"Documentary, Special Interest",,Anthony Mendez
s80,Movie,1986,"Action, Drama",Buzz Kulik,Susan Sarandon
s81,Movie,1994,"Drama, Suspense",Robert Ginty,Jeff Fahey
s82,Movie,2017,Comedy,John Elbert Ferrer,Vhong Navarro
s83,Movie,1988,Drama,Jenny Bowen,Lukas Haas
s84,Movie,1920,Drama,Oscar Micheaux,Evelyn Preer
s85,TV Show,2019,Kids,,Addison Holley
s86,TV Show,2018,TV Shows,,Michael Butt
s87,TV Show,2011,"Comedy, Documentary, Unscripted",,Ennis Esmer
s88,TV Show,2009,"Comedy, Documentary, Unscripted",,James Brayshaw
s89,Movie,1936,"Action, Drama",Alfred Santell,Burgess Meredith
s90,Movie,1936,Western,Mack V. Wright,John Wayne
s91,Movie,1992,"Action, Drama, Sports",Carroll Ballard,Matthew Modine
s93,Movie,2019,"Documentary, Special Interest",Jonathan Chase Cook,Jonathan Chase Cook
s94,Movie,2019,"Arts, Entertainment, and Culture, Comedy",Brandon Jones,William Lee Martin
s95,Movie,2019,"Arts, Entertainment, and Culture, Comedy, Special Interest",Brandon Jones,William Lee Martin
s96,Movie,2011,"Documentary, International, Special Interest",Alan Scales,Prince William
s97,Movie,2021,"Action, Drama",Frank Hall Green,Bruce Greenwood
s100,Movie,1993,"Comedy, Science Fiction",Glenn Gordon Caron,Debra Winger
s102,TV Show,2011,Kids,,Chris Kratt
s103,Movie,2012,Action,Andrew V. McLaglen,Richard Burton
s105,TV Show,2011,"Drama, Western",,Daniel MacPherson
s106,Movie,2006,Documentary,Eugene Jarecki,Gore Vidal
s108,Movie,2018,"Arts, Entertainment, and Culture",Kreeti Gogia,Abish Mathew
s110,Movie,2018,Documentary,Ian Lilley,Neil Oliver
s113,TV Show,2013,"Drama, Suspense",,Rupert Penry-Jones
s114,Movie,2021,"Action, Science Fiction",Karen Shakhnazarov,Aleksey Vertkov
s115,Movie,2019,"Documentary, Faith and Spirituality, Special Interest",Aaron J. Christopher,Ashe Jaafaru
s116,TV Show,2019,Drama,,John Simm
s117,Movie,1946,Drama,Leonide Moguy,Ava Gardner
s118,Movie,2018,"Action, Drama, Special Interest",David Bolt,Kaitlin Cheung
s123,Movie,2019,"Drama, Young Adult Audience",Amma Asante,Amandla Stenberg
s124,Movie,1944,"Drama, Military and War",William K. Howard,James Lydon
s126,Movie,2008,"Arthouse, Drama",Anand Tucker,Jim Broadbent
s127,Movie,2019,Drama,Jamall Rashaud McMillan,J. Wells Jr.
s128,Movie,2018,Comedy,Harold Trompetero,Hassam
s130,TV Show,1955,Unscripted,,John Daly
s131,TV Show,2019,"Documentary, Special Interest",,John Young
s132,TV Show,2020,Comedy,,Heidi Schreck
s133,Movie,1935,Suspense,Albert Herman,Charles Starrett
s134,Movie,1985,"Action, Adventure, Comedy",Jerry Reed,Barry Corbin
s136,Movie,1937,"Military and War, Western",Howard Bretherton,Smith Ballew
s137,Movie,1936,"Action, Comedy, Drama",Robert Hill,Rex Bell
s138,TV Show,2016,"Animation, Kids",,Christa Clahane
s140,Movie,2011,Anime,Kôji Masunari,Keiji Fujiwara
s141,TV Show,2017,TV Shows,,Shinba Tsuchiya | Ayane Sakura | Nobuhiko Okamoto | Kentaro Tomita | Sumire Morohoshi
s142,Movie,2015,"Documentary, Special Interest","Caroline Laskow, Ian Rosenberg",Freddie Roman
s143,Movie,2019,"Comedy, International",Saleel Kulkarni,Shivraj Waichal
s144,Movie,2012,"Drama, Romance",John McKay,Frances Barber
s145,Movie,2012,"Drama, Horror, Suspense",Lynne Ramsay,Tilda Swinton
s146,TV Show,2019,Drama,,Mark McKenna
s147,Movie,1970,Comedy,Melvin Van Peebles,Godfrey Cambridge
s152,Movie,2021,Comedy,María Ripoll,Ludwika Paleta
s153,Movie,1945,"Documentary, Special Interest",Frank Capra,Dean Acheson
s154,Movie,2019,"Action, Drama, Suspense",Siddharth Anand,Hrithik Roshan
s155,Movie,2019,"Action, Drama, Suspense",Siddharth Anand,Hrithik Roshan
s156,Movie,2014,Special Interest,Tony Machi,Walter Williams
s158,TV Show,2002,"Animation, Comedy, Kids",,Peter Sallis
s159,TV Show,2008,"Animation, Comedy, Kids",,Peter Sallis
s160,Movie,1937,"Action, Suspense",Charles Lamont,George Houston
s161,Movie,1939,Western,Joseph Kane,Roy Rogers
s162,Movie,2020,"Action, Drama",Tom Wright,Jeffrey Dean Morgan
s163,TV Show,2017,"Action, Drama, Suspense",,Sean Keenan
s164,TV Show,2020,Comedy,,Sumeet Vyas
s165,Movie,2016,"Comedy, Drama",Corey Horton,Brian Shea
s166,Movie,2018,"Drama, Romance, Suspense",Charles Garrad,Colin Morgan
s167,Movie,2012,"Documentary, Sports",Jacob Rosenberg,Danny Way
s168,Movie,2020,"Action, Drama",Ben Cookson,Noah Schnapp
s169,Movie,2018,"Arts, Entertainment, and Culture, Documentary",Jason Wise,Rose Marie
s170,TV Show,2017,"Documentary, Drama, Unscripted",,Mark Wahlberg
s173,Movie,1970,Science Fiction,Minoru Yamada,Akio Ito
s174,Movie,1996,"Drama, Suspense",Bill Norton,Cheryl Ladd
s175,Movie,1997,"Action, Science Fiction, Suspense",Graeme Campbell,Dan Cortese
s176,Movie,2017,"Drama, Suspense",Eric D. Howell,Emilia Clarke
s179,Movie,2019,"Action, Drama, International",Siva,Ajith Kumar
s180,Movie,1974,Drama,Lamont Johnson,Richard Mulligan
s181,Movie,2019,"Drama, Science Fiction, Suspense",Aashiq Abu,Revathy
s182,Movie,2012,Drama,Dustin Lance Black,Jennifer Connelly
s183,Movie,1986,"Drama, Romance",Jack Fisk,Sissy Spacek
s184,TV Show,2019,Anime,,Shizuka Ishigami
s185,Movie,2019,"International, Suspense",Srijit Mukherjee,Rudranil Ghosh
s186,TV Show,2020,"Action, Drama",,Alex Høgh
s188,TV Show,2009,TV Shows,,Stephen Noonan
s189,TV Show,2009,Documentary,,Ruth Goodman
s190,Movie,2019,"International, Suspense",Saurabh Varma,Sonalee Kulkarni
s191,TV Show,2008,"Documentary, Special Interest",,Kym Marsh
s192,TV Show,2018,"Documentary, Drama, Unscripted",,George Lopez
s193,Movie,2019,"Action, Comedy, Drama",KS Ravindra(Bobby),Venkatesh
s194,Movie,2019,"International, Suspense",Vivek Elangovan,Vivek
s197,Movie,2019,Kids,Cannis Holder,Grace Tamayo
s199,TV Show,2018,Drama,,Olivia Cooke
s200,Movie,2014,"Action, Documentary, Sports","Pete Mortimer, Nick Rosen",Peter Sarsgaard
s201,Movie,2013,Documentary,Marta Cunningham,Dawn Boldrin
s203,Movie,2021,"Action, Suspense",Pavel Navageethan,Ram Arun Castro
s204,Movie,2020,"Action, Drama, Suspense",Mohana Krishna Indraganti,Nani
s205,Movie,2020,"Action, Drama, Suspense",Mohana Krishna Indraganti,Nani
