,show_id,type,director,release_year,duration,rating,genre
0,s2,Movie,Girish Joshi,2018,110.0,13+,Drama
1,s17,Movie,Glenn Miller,2016,87.0,13+,Horror
2,s18,TV Show,,2008,1.0,G,Kids
3,s19,TV Show,,2020,1.0,18+,Comedy
4,s20,Movie,Drake Doremus,2018,104.0,R,Science Fiction
5,s21,TV Show,,2001,1.0,TV-Y,Kids
6,s22,TV Show,,2020,1.0,TV-Y7,Action
7,s23,Movie,William Nigh,1941,62.0,NR,Arts
8,s24,TV Show,,2020,1.0,18+,TV Shows
9,s25,Movie,Sam Pillsbury,1991,94.0,R,Drama
10,s26,Movie,Dr. Rudolf Lammers,2005,50.0,G,Documentary
11,s27,TV Show,,2020,1.0,16+,TV Shows
12,s28,TV Show,,2017,1.0,18+,Comedy
13,s29,TV Show,,2015,3.0,TV-Y7,Animation
14,s30,TV Show,,2018,3.0,TV-Y7,Action
15,s31,TV Show,,2011,2.0,TV-Y7,Anime
16,s32,TV Show,,2013,1.0,TV-PG,TV Shows
17,s33,Movie,Ida Lupino,1949,86.0,18+,Drama
18,s36,TV Show,,2002,1.0,16+,Drama
19,s37,Movie,George C. Wolfe,2015,103.0,R,Drama
20,s43,TV Show,,2018,1.0,G,Fitness
21,s49,Movie,Mark Knight,2016,60.0,G,Fitness
22,s51,Movie,Mark Knight,2016,54.0,G,Fitness
23,s53,Movie,R. John Hugh,1955,84.0,18+,Action
24,s54,TV Show,,2020,1.0,16+,Arts
25,s55,Movie,Mahi V Raghav,2019,126.0,G,Drama
26,s56,Movie,Mahi V Raghav,2019,125.0,G,Drama
27,s57,TV Show,,1959,1.0,13+,Action
28,s58,TV Show,,2017,2.0,G,Documentary
29,s59,TV Show,,2015,1.0,7+,Adventure
30,s60,Movie,Allan Moyle,2001,109.0,R,Fantasy
31,s61,Movie,Boaz Davidson,1983,89.0,R,Suspense
32,s62,TV Show,,2009,1.0,TV-14,Action
33,s63,Movie,Jeffrey Schwarz,2008,85.0,18+,Documentary
34,s64,TV Show,,2015,3.0,13+,Drama
35,s65,TV Show,,2009,1.0,TV-PG,Comedy
36,s66,TV Show,,2018,1.0,NR,TV Shows
37,s67,TV Show,,2020,1.0,13+,Unscripted
38,s68,TV Show,,1994,1.0,TV-14,Drama
39,s70,TV Show,,2020,1.0,13+,Documentary
40,s71,Movie,Baeble Music,2007,40.0,NR,Music Videos and Concerts
41,s72,TV Show,,2014,1.0,TV-PG,TV Shows
42,s73,TV Show,,2007,1.0,TV-G,Kids
43,s74,Movie,Thor Freudenthal,2020,111.0,PG-13,Drama
44,s75,TV Show,,2010,1.0,TV-G,Kids
45,s76,TV Show,,2018,1.0,TV-G,Documentary
46,s79,TV Show,,2015,1.0,G,Animation
47,s80,Movie,Buzz Kulik,1986,95.0,16+,Action
48,s81,Movie,Robert Ginty,1994,99.0,R,Drama
49,s82,Movie,John Elbert Ferrer,2017,104.0,13+,Comedy
50,s83,Movie,Jenny Bowen,1988,111.0,PG-13,Drama
51,s84,Movie,Oscar Micheaux,1920,78.0,13+,Drama
52,s85,TV Show,,2019,4.0,G,Kids
53,s86,TV Show,,2018,1.0,16+,TV Shows
54,s87,TV Show,,2011,1.0,G,Comedy
55,s88,TV Show,,2009,1.0,7+,Comedy
56,s89,Movie,Alfred Santell,1936,77.0,NR,Action
57,s90,Movie,Mack V. Wright,1936,55.0,13+,Western
58,s91,Movie,Carroll Ballard,1992,126.0,PG-13,Action
59,s92,Movie,Frederic Compain,2015,53.0,13+,Documentary
60,s93,Movie,Jonathan Chase Cook,2019,115.0,13+,Documentary
61,s94,Movie,Brandon Jones,2019,55.0,16+,Arts
62,s95,Movie,Brandon Jones,2019,58.0,18+,Arts
63,s96,Movie,Alan Scales,2011,49.0,G,Documentary
64,s97,Movie,Frank Hall Green,2021,104.0,16+,Action
65,s99,TV Show,,2019,3.0,G,Documentary
66,s100,Movie,Glenn Gordon Caron,1993,109.0,PG-13,Comedy
67,s101,TV Show,,2014,1.0,7+,Documentary
68,s102,TV Show,,2011,1.0,TV-Y,Kids
69,s103,Movie,Andrew V. McLaglen,2012,135.0,18+,Action
70,s104,Movie,Mike Slee,2016,91.0,7+,Documentary
71,s105,TV Show,,2011,1.0,13+,Drama
72,s106,Movie,Eugene Jarecki,2006,99.0,PG-13,Documentary
73,s107,TV Show,,2008,1.0,TV-PG,TV Shows
74,s108,Movie,Kreeti Gogia,2018,64.0,18+,Arts
75,s109,Movie,"Caryl Ebenezer, J. Mervyn Williams",2016,131.0,G,Drama
76,s110,Movie,Ian Lilley,2018,59.0,13+,Documentary
77,s111,Movie,Bernard Carr,1948,52.0,NR,Comedy
78,s113,TV Show,,2013,4.0,TV-14,Drama
79,s114,Movie,Karen Shakhnazarov,2021,109.0,16+,Action
80,s115,Movie,Aaron J. Christopher,2019,62.0,16+,Documentary
81,s116,TV Show,,2019,1.0,16+,Drama
82,s117,Movie,Leonide Moguy,1946,84.0,13+,Drama
83,s118,Movie,David Bolt,2018,85.0,PG-13,Action
84,s123,Movie,Amma Asante,2019,122.0,PG-13,Drama
85,s124,Movie,William K. Howard,1944,103.0,16+,Drama
86,s126,Movie,Anand Tucker,2008,92.0,PG-13,Arthouse
87,s127,Movie,Jamall Rashaud McMillan,2019,90.0,13+,Drama
88,s128,Movie,Harold Trompetero,2018,102.0,G,Comedy
89,s129,TV Show,,2010,1.0,TV-G,Documentary
90,s130,TV Show,,1955,1.0,TV-G,Unscripted
