show_id,type,title,director,release_year,rating,duration,listed_in,duration_int
s2,Movie,Take Care Good Night,Girish Joshi,2018,13+,110 min,"Drama, International",110
s17,Movie,Zoombies,Glenn Miller,2016,13+,87 min,"Horror, Science Fiction",87
s18,TV Show,Zoo Babies,,2008,G,1 Season,"Kids, Special Interest",1
s19,TV Show,Zoë Coombs Marr: Bossy Bottom,,2020,18+,1 Season,"Comedy, Talk Show and Variety",1
s20,Movie,Zoe,Drake Doremus,2018,R,104 min,Science Fiction,104
s21,TV Show,Zoboomafoo,,2001,TV-Y,1 Season,Kids,1
s22,TV Show,Zo Zo Zombie: Mini-Series,,2020,TV-Y7,1 Season,"Action, Anime, Comedy",1
s23,Movie,Zis Boom Bah,William Nigh,1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama",62
s24,TV Show,ZeroZeroZero,,2020,18+,1 Season,TV Shows,1
s25,Movie,Zandalee,Sam Pillsbury,1991,R,94 min,Drama,94
s26,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,2005,G,50 min,Documentary,50
s27,TV Show,Zahara: The Return,,2020,16+,1 Season,TV Shows,1
s28,TV Show,Z: The Beginning of Everything,,2017,18+,1 Season,"Comedy, Drama",1
s29,TV Show,Yu-Gi-Oh! Zexal,,2015,TV-Y7,3 Seasons,"Animation, Anime, Fantasy",3
s30,TV Show,Yu-Gi-Oh! ARC-V,,2018,TV-Y7,3 Seasons,"Action, Adventure, Animation",3
s31,TV Show,Yu-Gi-Oh! 5D's,,2011,TV-Y7,2 Seasons,"Anime, Kids",2
s32,TV Show,Your Bleeped Up Brain,,2013,TV-PG,1 Season,TV Shows,1
s33,Movie,Young Lovers,Ida Lupino,1949,18+,86 min,Drama,86
s36,TV Show,Young Lions,,2002,16+,1 Season,"Drama, Suspense",1
s37,Movie,You're Not You,George C. Wolfe,2015,R,103 min,Drama,103
s43,TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",,2018,G,1 Season,Fitness,1
s49,Movie,Yoga for Men's Health,Mark Knight,2016,G,60 min,"Fitness, Special Interest",60
s51,Movie,Yoga For Beginners,Mark Knight,2016,G,54 min,"Fitness, Special Interest",54
s53,Movie,Yellowneck,R. John Hugh,1955,18+,84 min,"Action, Military and War, Western",84
s54,TV Show,Yearly Departed,,2020,16+,1 Season,"Arts, Entertainment, and Culture, Comedy, Talk Show and Variety",1
s55,Movie,Yatra (Telugu),Mahi V Raghav,2019,G,126 min,"Drama, International",126
s56,Movie,Yatra (Malayalam),Mahi V Raghav,2019,G,125 min,"Drama, International",125
s57,TV Show,Yancy Derringer,,1959,13+,1 Season,"Action, Western",1
s58,TV Show,Xploration Earth 2050,,2017,G,2 Seasons,"Documentary, Science Fiction",2
s59,TV Show,Xiaolin Chronicles,,2015,7+,1 Season,"Adventure, Animation, Kids",1
s60,Movie,Xchange,Allan Moyle,2001,R,109 min,"Fantasy, Science Fiction, Suspense",109
s61,Movie,X-Ray,Boaz Davidson,1983,R,89 min,Suspense,89
s62,TV Show,WWII in HD,,2009,TV-14,1 Season,Action,1
s63,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,2008,18+,85 min,"Documentary, LGBTQ",85
s64,TV Show,WPC 56,,2015,13+,3 Seasons,"Drama, Romance, Suspense",3
s65,TV Show,Would I Lie to You?,,2009,TV-PG,1 Season,"Comedy, Special Interest, Unscripted",1
s66,TV Show,Wotakoi: Love is Hard for Otaku,,2018,NR,1 Season,TV Shows,1
s67,TV Show,World’s Toughest Race: Eco-Challenge Fiji,,2020,13+,1 Season,Unscripted,1
s68,TV Show,World War II: When Lions Roared,,1994,TV-14,1 Season,Drama,1
s70,TV Show,World War 2 - The Call of Duty: A Complete Timeline,,2020,13+,1 Season,"Documentary, Military and War",1
s71,Movie,World Inferno Friendship Society,Baeble Music,2007,NR,40 min,Music Videos and Concerts,40
s72,TV Show,World Food Championships,,2014,TV-PG,1 Season,TV Shows,1
s73,TV Show,WordWorld,,2007,TV-G,1 Season,Kids,1
s74,Movie,Words On Bathroom Walls,Thor Freudenthal,2020,PG-13,111 min,Drama,111
s75,TV Show,WordGirl,,2010,TV-G,1 Season,Kids,1
s76,TV Show,Wonders of Mexico,,2018,TV-G,1 Season,"Documentary, Special Interest",1
s79,TV Show,Wonder Balls,,2015,G,1 Season,"Animation, Kids",1
s80,Movie,Women of Valor,Buzz Kulik,1986,16+,95 min,"Action, Drama",95
s81,Movie,Woman Of Desire,Robert Ginty,1994,R,99 min,"Drama, Suspense",99
s82,Movie,Woke Up Like This,John Elbert Ferrer,2017,13+,104 min,Comedy,104
s83,Movie,"Wizard of Loneliness, The",Jenny Bowen,1988,PG-13,111 min,Drama,111
s84,Movie,Within Our Gates,Oscar Micheaux,1920,13+,78 min,Drama,78
s85,TV Show,Wishenpoof,,2019,G,4 Seasons,Kids,4
s86,TV Show,Wisconsin Unexplained,,2018,16+,1 Season,TV Shows,1
